n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.0,0,(3.101791428450874e-08+0j),18,12,1000000,-3.6893118595731673,-3.2955777176325096
1,2,1,1,0.0,0,(4.919080820432288e-08+0j),18,12,1000000,-3.4965282405442495,-2.6870833585638865
1,2,1,1,0.0,0,(1.4283149845697627e-08+0j),18,12,1000000,-4.544676061856762,-4.020572704527769
1,2,1,1,0.0,0,(2.5064705809266943e-08+0j),18,12,1000000,-3.6947084905151497,-3.6779508442373636
1,2,1,1,0.0,0,(1.483491635233616e-07+0j),18,12,1000000,-2.325144869354755,-1.6148070615843708
1,2,1,1,0.0,0,(3.342951840981295e-07+0j),18,12,1000000,-4.777205932555185,-0.4152565722629804
1,2,1,1,0.0,0,(8.712115582280414e-07+0j),18,12,1000000,-0.22136800532678613,-0.0608106326029354
1,2,1,1,0.0,0,(2.831766721586211e-07+0j),18,12,1000000,-2.167403991481575,-0.7943409751342898
1,2,1,1,0.0,0,(1.59288735515864e-08+0j),18,12,1000000,-4.831740672401467,-3.7344997896966854
1,2,1,1,0.0,0,(2.0801270319175185e-08+0j),18,12,1000000,-4.333662034387156,-3.5584434731775287
2,4,1,2,0.0,0,(3.025595808852268e-07-7.703719777548943e-40j),26,16,1000000,-3.9249933712654004,-0.41199195005484857
2,4,1,2,0.0,0,(5.055586680232625e-07+2.099263639382087e-38j),45,30,1000000,-3.921761564140787,-0.09668959363493546
2,4,1,2,0.0,0,(1.4357238029216793e-07+2.3689835642261842e-24j),27,16,1000000,-4.435811862881095,-0.8008799181573005
2,4,1,2,0.0,0,(1.620715318778942e-07-1.4059288594026822e-38j),44,30,1000000,-4.059520577669221,-1.1822052391383835
2,4,1,2,0.0,0,(2.908234472081155e-08+7.703719777548943e-40j),26,16,1000000,-4.597334365606747,-2.61307433303612
2,4,1,2,0.0,0,(1.3808672088726813e-07-2.1185229388259594e-39j),44,30,1000000,-4.787367381966119,-0.9099904898890889
2,4,1,2,0.0,0,(4.1937177406562833e-07-3.5822296965602586e-38j),26,16,1000000,-1.4666092489572438,-0.13252289344795454
2,4,1,2,0.0,0,(5.748849970580673e-08+5.007417855406813e-39j),26,16,1000000,-4.699144816887744,-2.018740104466152
2,4,1,2,0.0,0,(5.290518757433948e-07+6.548161810916602e-39j),26,16,1000000,-1.79391264450605,-0.2509250819092932
2,4,1,2,0.0,0,(2.2319281986475463e-07+1.781485198558193e-39j),26,16,1000000,-4.939308500277181,-0.5556685237748953
3,8,2,2,0.0,0,(1.4034055721701282e-08+1.0050899748013457e-26j),174,119,1000000,-4.498675176219194,-0.4160443691340703
3,8,2,2,0.0,0,(1.2785366287254486e-08+2.9340338996524295e-39j),282,179,1000000,-4.0968738044911515,-0.458730121342394
3,8,2,2,0.0,0,(1.156738625823381e-08-6.41293318367025e-26j),280,173,1000000,-4.350228205147644,-0.24507861619014104
3,8,2,2,0.0,0,(6.626003072149044e-08-4.481981165299906e-25j),267,181,1000000,-4.974511349231823,-0.11465205005616408
3,8,2,2,0.0,0,(4.96827372690215e-08-7.884275709835246e-40j),240,159,1000000,-4.23125904265173,-0.364198331991342
3,8,2,2,0.0,0,(1.8973262304116722e-08-2.0222264416065975e-39j),281,179,1000000,-4.960522581390967,-0.5650140776001047
3,8,2,2,0.0,0,(4.501301368842067e-08+4.231623259520147e-25j),166,117,1000000,-4.874903499602908,-0.3518482972834587
3,8,2,2,0.0,0,(3.56558362673988e-09+8.959950693362789e-27j),238,151,1000000,-4.9647539445467865,-0.8849146748589813
3,8,2,2,0.0,0,(2.2515035639525107e-08+4.81971491746751e-39j),270,178,1000000,-4.010789838611366,-0.22140167571480962
3,8,2,2,0.0,0,(4.892071472111173e-08-1.8036448720789207e-26j),294,204,1000000,-4.516512621801504,-0.11249644306367124
4,12,3,2,0.0,0,(1.1239291665800136e-09+8.685596093943827e-27j),1220,879,1000000,-4.457688120213595,-0.2076407879769615
4,12,3,2,0.0,0,(2.848817843260056e-09-2.512426597761298e-26j),1178,849,1000000,-4.801937112637995,-0.11941292436232054
4,12,3,2,0.0,0,(3.091481619392529e-09-5.178666794695528e-26j),1024,713,1000000,-4.145218518808171,-0.6153368910166845
4,12,3,2,0.0,0,(2.379577296490606e-10+2.1955434341302396e-27j),1019,709,1000000,-4.877858472473708,-1.395181387383229
4,12,3,2,0.0,0,(1.6936633472422966e-09+1.353319200561119e-26j),1116,786,1000000,-4.8174494855039685,-0.10689425326910573
4,12,3,2,0.0,0,(2.5149427252825358e-08-4.156877162925839e-39j),1062,730,1000000,-4.4993214301024835,-0.06645681235967871
4,12,3,2,0.0,0,(1.288661677557126e-08+1.1206109911067715e-25j),1296,951,1000000,-4.706666607195267,-0.04601703944328506
4,12,3,2,0.0,0,(2.1282850771681625e-08+4.938567437098789e-26j),972,663,1000000,-4.378759789580827,-0.2562473042699436
4,12,3,2,0.0,0,(5.979872300295116e-10-4.3290609028910714e-27j),1016,703,1000000,-4.880771176099742,-0.4528430699144632
4,12,3,2,0.0,0,(8.358329777499581e-09+8.940685002640615e-26j),1227,889,1000000,-4.578550472723981,-0.09412389076498862
