n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.9999999926050613,1.4789192961554365e-08,0.346074,31,18,1000000,-2.0499776964907466,-0.5730019484419966
1,2,1,1,0.9999985443267476,2.9037585056202473e-06,0.295617,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999989648566338,2.0657319343011875e-06,0.295999,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.999999921705514,1.5668437750756257e-07,0.295626,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999998517548071,2.967390954858616e-07,0.295539,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999988076134778,2.390468097510036e-06,0.295814,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999997268051528,5.470123561094014e-07,0.295534,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999999920499973,1.5903088821117453e-08,0.29615,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.9999998550080803,2.89744254374584e-07,0.295795,31,18,1000000,-4.343562299268624,-0.5475934790116659
1,2,1,1,0.999999964827368,7.031660922073127e-08,0.294968,31,18,1000000,-4.343562299268624,-0.5475934790116659
2,4,1,2,0.9999939137401289,1.2165503183072645e-05,0.362665,166,86,1000000,-4.343562299268624,-0.5475934790116659
2,4,1,2,0.9999966657660451,6.671134687760149e-06,0.392438,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999953666861136,9.290471016906916e-06,0.392859,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999970414251251,5.903143047616857e-06,0.393497,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999961057210844,7.767698685889196e-06,0.392692,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999992449734287,1.5090638821654693e-06,0.394111,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999990768992172,1.8476899304993122e-06,0.393847,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999999006471001,1.9865107353196144e-07,0.392883,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999984685182114,3.0617756955965514e-06,0.393302,166,86,1000000,-2.8913315693726855,-0.027881775841487766
2,4,1,2,0.9999965193403201,6.968496431225844e-06,0.393148,166,86,1000000,-2.8913315693726855,-0.027881775841487766
3,8,2,2,0.9881913757099856,0.022318324116055187,0.031808,1277,468,1000000,-4.728604087892908,-0.027881775841487766
3,8,2,2,0.9901062904121904,0.019151006038770513,0.003857,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9932964179816861,0.01314052343628171,0.003821,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9922746984554058,0.014980960553904191,0.003803,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9934100770117128,0.01304432113435753,0.003854,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9918746836422071,0.016250057925417186,0.004035,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9921203979677389,0.015440834947237272,0.003872,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9928978040617151,0.014031852417853666,0.003782,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9932608748754123,0.013270417580552349,0.003824,1277,468,1000000,-4.8096577085986665,-1.029241468240281
3,8,2,2,0.9919781282783983,0.015682214312898398,0.00396,1277,468,1000000,-4.8096577085986665,-1.029241468240281
4,12,3,2,0.9779634966291825,0.01924158009754673,0.000731,7658,2104,1000000,-4.8096577085986665,-0.7518819123171774
4,12,3,2,0.9858739949137891,0.018878252604025,0.002516,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9911206002310033,0.01762618986778748,0.002509,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9893848426119345,0.019992336150949756,0.002497,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9844587844416,0.029958615009769655,0.002413,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9864055067055506,0.027806226299685117,0.002416,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9883697070052521,0.021658685061798785,0.002502,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9877490608613096,0.022991533055459708,0.002539,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9876008078210411,0.02450513757579525,0.002424,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
4,12,3,2,0.9863859914609122,0.02649801039833189,0.002391,7658,2104,1000000,-4.541636019700803,-0.4954970009108042
