n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.9999995454820959,9.092231557959263e-07,0.108235,19,13,1000000,-2.758065690200427,-1.8726309803712402
1,2,1,1,0.999998751120353,2.495900022247196e-06,0.026029,19,13,1000000,-4.885556650161663,-3.119293720167783
1,2,1,1,0.9999997003471794,5.993143963691806e-07,0.152152,19,13,1000000,-1.9194892995174881,-1.841086027173171
1,2,1,1,0.9999701344395694,5.971155048578765e-05,0.020358,19,13,1000000,-3.9996530089646996,-3.8035697554319463
1,2,1,1,0.9999970226286043,5.955768282213652e-06,0.079672,19,13,1000000,-2.688137800716281,-2.3950636946329564
1,2,1,1,0.9999999037984225,1.9256107899134716e-07,0.318646,19,13,1000000,-4.635906189957761,-0.4651276055629383
1,2,1,1,0.9999994309335521,1.1396338815656626e-06,0.199551,19,13,1000000,-4.326763328573282,-0.9496229216872498
1,2,1,1,0.9999999873682193,2.5268085917974235e-08,0.338112,19,13,1000000,-3.6398599484471497,-0.42945699734755927
1,2,1,1,0.9999999786973018,4.260349702620773e-08,0.127335,19,13,1000000,-2.5981584499422294,-1.7108829586036651
1,2,1,1,0.9999941687738575,1.1660574449499396e-05,0.130472,19,13,1000000,-2.147276293185102,-1.9402905091901474
2,4,1,2,0.9999880322531653,2.410042786307634e-05,0.180374,48,31,1000000,-4.2222987645552505,-1.0389893977288032
2,4,1,2,0.9999919522382263,1.6128003132371443e-05,0.085023,30,18,1000000,-3.722788931686165,-1.7156594861349475
2,4,1,2,0.9999981113338505,3.7774586134271294e-06,0.385195,48,31,1000000,-2.4517550493746034,-0.13864575281756597
2,4,1,2,0.999999143829981,1.7121372753460518e-06,0.362899,48,31,1000000,-4.67518534245567,-0.24925293136476778
2,4,1,2,0.9999955209922405,8.953325873099468e-06,0.081826,47,31,1000000,-3.7935336451993047,-2.0268482483243835
2,4,1,2,0.9999996501927253,6.989290282725642e-07,0.310456,47,31,1000000,-3.799477673347374,-0.08669951826245548
2,4,1,2,0.999998255733788,3.4856019621453977e-06,0.299476,48,31,1000000,-3.983413455629912,-0.6384107811241746
2,4,1,2,0.9999991506975343,1.6967775306330098e-06,0.317898,29,18,1000000,-4.039898547028961,-0.02804212304817444
2,4,1,2,0.9999945545865825,1.0876116313679116e-05,0.094459,48,31,1000000,-4.004520840769586,-1.51360589984106
2,4,1,2,0.9999991570885469,1.686122194124594e-06,0.159252,47,31,1000000,-4.46651906609685,-1.3006633221398247
3,8,2,2,0.9998040554537097,0.0003968135838543934,0.003018,230,135,1000000,-4.878180704040854,-1.4636081914113492
3,8,2,2,0.9999429123275425,0.0001154840367613804,0.025237,252,175,1000000,-4.586781773623602,-0.40666874984435797
3,8,2,2,0.9999300314866145,0.00013990458076004844,0.021737,241,144,1000000,-3.823864173259345,-0.6901181829224434
3,8,2,2,0.9999206961753846,0.00015813908162009725,0.010594,240,145,1000000,-3.7812291235024267,-0.058638323465984854
3,8,2,2,0.9998846384303883,0.00023202752918006922,0.029571,309,202,1000000,-3.556051528119364,-0.19636519356532212
3,8,2,2,0.9999974389878211,5.107975055388878e-06,0.145013,332,234,1000000,-4.382645306531543,-0.06048186271628708
3,8,2,2,0.9999893784231683,2.171460628566462e-05,0.083272,309,203,1000000,-4.6143176440904545,-0.08378606174657932
3,8,2,2,0.9997763399759155,0.00044147741475388446,0.009878,276,174,1000000,-4.962669915727947,-1.2068751188457698
3,8,2,2,0.999788181876158,0.0004271575377838273,0.012689,226,142,1000000,-4.762163154878231,-0.3411023985273376
3,8,2,2,0.9998043763162909,0.00039115625556955264,0.006312,290,196,1000000,-4.857249040115022,-0.5822711585359599
4,12,3,2,0.9994392916947533,0.0011070512779844718,0.00562,1077,735,1000000,-4.832307122032183,-0.42402728375762777
4,12,3,2,0.9967861448828766,0.001397524253140092,0.003079,1163,815,1000000,-4.862878515382715,-0.4487485353067724
4,12,3,2,0.997889792877013,0.0011008442480729555,0.00234,1020,699,1000000,-4.860138537473521,-0.5599077584359708
4,12,3,2,0.9995835701220948,0.0008477755963809445,0.006032,1189,834,1000000,-4.347749458825222,-0.08010463460426553
4,12,3,2,0.9992310369615647,0.0015384866696263799,0.006474,1151,815,1000000,-4.579006768110505,-0.3373125539002704
4,12,3,2,0.9909865549202141,0.009502630264090888,0.000384,1038,696,1000000,-4.981251641909094,-0.3642109245664411
4,12,3,2,0.9937600453289089,0.007813582059294227,0.000653,1105,778,1000000,-4.882969345964238,-0.5914235662883787
4,12,3,2,0.999787849673903,0.0004240947594469687,0.018794,866,583,1000000,-4.654862479320618,-0.042125525580596346
4,12,3,2,0.8220144546821159,0.04566989288735973,3.6e-05,1083,765,1000000,-4.973333190965463,-1.2704476363291421
4,12,3,2,0.99504804826928,0.007832726207298166,0.000442,996,672,1000000,-4.9412338395893105,-1.0312880014375856
